Stream order,Altitude (m),CH4 (µM) Average_Ambient Air,DOC (mg L-1),CDOM 440 nm_simple (m-1),SUVA 254,TP (µM),Air Temperature (°C),Atmospheric pressure (ha Pa),Water Temperatre (°C),pH,Conductivity,DO (mg L-1),Turbidity (NTU),Water flow (m/s)_final,Nitrate (NO3) (mg L-1) (AVG),Waterbody (%),Forest (%),Flooded Vegetation (%),Agriculture (%),Built-up Area (%),Bareground (%),Rangeland (%),Terrein Slope (%)
7,314,0.723563659,7.367,1.1515,3.469974209,14.689844,21.6,974.2,26.6,8.1,917.76,5.38,13.4,0.08128,1.32,1.542257,11.57691,0.033653,68.58684,3.542221,0.023658,14.69446,8.672333333
7,337,0.505207349,7.8365,1.3818,3.585350603,20.1625,36.5,970.5,30.35,8.32,1247.2,10.15,12.1,0.12192,0.76,1.531111,12.32797,0.034185,67.70336,3.546917,0.023671,14.83278,8.672333333
6,352,0.243868538,6.125,0.9212,3.76,8.4235,38.9,966.8,30.06,8.4,672.01,9.49,4,0.16256,,2.17825,19.75524,0.030359,62.8124,3.806321,0.014632,11.4028,8.29412
6,386,0.17001432,4.236,0.6909,4.240651558,2.5635,35.9,962,28.7,8.39,415.38,9.53,5.4,0.4064,0.63,2.200174,8.600323,0.026131,74.45583,4.208045,0.007671,10.50182,9.221466667
6,445,0.349491011,5.306,0.9212,3.255277045,1.8755,25.2,955.9,27.22,8.11,410.76,7.57,4,0.16256,0.845,2.299628,22.56538,0.025614,61.59349,3.576334,0.01223,9.927325,9.484233333
6,492,0.425961327,5.2535,0.9212,3.638507662,2.879,29.4,955,27.31,7.76,604.28,6.69,11.1,0.12192,0.77,1.89326,29.49588,0.028021,55.51428,3.838003,0.013641,9.216917,10.43122222
6,511,0.214639586,7.128,0.9212,3.586321549,1.8095,32,951.5,30.28,8.59,631.44,12,8.3,0.08128,0.845,2.199475,41.98198,0.043054,42.17859,3.837687,0.01631,9.7429,13.73284444
6,523,1.505684189,5.398,1.1515,4.010411263,3.3325,36.6,948.1,32.16,8.73,319.2,8.56,25.1,0.08128,0.85,2.313902,39.92336,0.041907,44.80752,3.60407,0.015078,9.29416,15.77244444
4,560,0.227423174,4.208,1.3818,4.980346958,3.0905,35.9,942.7,29.15,8.31,168.3,8.69,6.5,0.4064,0.77,4.494698,65.20615,0.010285,17.58407,2.963318,0.001357,9.740126,21.15633333
4,571,0.756217094,4.2075,1.1515,5.035674391,2.7045,25.5,947.8,27.55,7.8,114.15,5.72,4.7,0.24384,0.7,1.970501,84.35606,0.041169,6.288129,1.64068,0.08093,5.622533,19.05151111
4,567,0.613365282,4.3335,0.9212,4.570393446,2.211,27.4,948.4,27.97,7.51,127.99,6.82,3.6,0.08128,0.58,1.28883,83.70764,0.021181,5.524768,1.818235,0.058242,7.581106,17.07193333
4,602,0.577761473,4.6145,0.9212,2.54530285,1.86,25.1,944.9,27.45,7.8,85.09,6.8,19.5,0.16256,0.535,0.621207,86.45016,0.000518,3.066584,1.703498,0.064337,8.093702,19.38111111
4,615,0.613651917,3.201,0.4606,2.733958138,0.817,28.9,944.1,28.55,7.8,64.47,7.09,4.9,0.2032,0.315,0.567691,86.48009,0,1.729538,1.425119,0.055143,9.742408,22.06544444
4,625,0.473682017,4.463,0.6909,2.115684517,0.878,30.1,941.1,28.54,7.64,59.51,7,5.1,0.24384,0.235,0.419416,86.54113,0,0.672024,1.202335,0.041873,11.12322,26.72635556
3,635,0.677088581,3.663,0.9212,3.206470106,0.6745,29.5,938.9,27.99,7.49,52.52,6.72,1.5,0.32512,0.505,0.277536,81.55073,0,0.708711,1.18216,0.018329,16.26254,29.63344444
2,761,0.409629865,3.3915,0.6909,3.327347781,0.714,26.5,928.9,25.99,7.35,60.45,7.1,3.7,0.24384,,1.368005,55.84164,0.209328,0.202289,0.755026,0.113148,41.51056,41.89244444
2,755,0.338489262,3.2985,0.9212,3.281521904,1.111,29.3,929.2,26.42,7.07,63.06,7.11,8.8,0.28448,1,1.336803,59.09636,0.186359,0.212845,0.920646,0.101656,38.14534,38.43688889
3,710,0.568623427,3.613,0.9212,3.314586216,0.9695,27.3,932.3,26.92,7.44,86.92,7.4,3.9,0.32512,1.19,0.797976,80.48502,0.075073,0.205433,1.000353,0.041243,17.3949,27.04211111
4,610,0.741168978,2.2185,1.1515,7.785665991,0.205,32,939.9,26.04,7.44,87.19,7.93,2.7,0.2032,1.12,5.578408,81.56845,0.028152,0.848168,0.939484,0.015972,11.02136,22.78566667
4,586,13.1241579,4.7775,1.6121,3.856410256,6.706,29.5,942.6,28.01,7.35,195.28,5.72,7.2,0.08128,2.11,4.238971,70.25742,0.021243,11.80118,2.102388,0.011163,11.56765,21.13178889
6,360,0.30204857,19.275,1.3818,1.266500649,7.127688,28.8,970.1,29.2,7.86,1194.6,8.92,8.2,0.2032,2.995,2.196412,1.598803,0.00269,81.35539,5.016104,0.012561,9.818043,3.705744444
6,380,0.666928217,18.73,0.9212,1.291057128,3.292206,31.1,967.8,28.43,8.48,1218.4,9.08,6.2,0.2032,1.63,2.334043,1.422469,0.001909,81.30953,5.441072,0.004079,9.486897,5.6001
6,407,0.410821258,21.045,0.4606,1.061492041,1.360864,35.4,963,28.46,8.08,1855.7,6.2,4.6,0.2032,1.795,2.473253,1.561622,0.002071,79.83854,5.719946,0.004461,10.40011,6.451966667
6,417,0.085232233,20.105,0.4606,1.09966675,1.823298,32.8,959.6,32.54,8.6,2491.9,14.97,7.5,0.2032,5.025,3.020179,2.413495,0.002571,73.52875,7.13693,0.006003,13.89207,8.788611111
6,428,0.381347358,5.8155,0.4606,3.207686355,1.71449,28.3,958.7,30.17,8.65,943.15,10.33,5.1,0.2032,1.415,3.228002,2.726995,0.002855,70.53339,7.792146,0.006726,15.70989,9.060777778
5,443,2.384035545,3.8625,0.4606,4.173721683,2.53055,26.7,964.2,27.43,7.67,1293.1,3.69,2.7,0.2032,17.75,3.629952,3.241717,0.001653,67.72649,8.804864,0.007688,16.58764,10.88122222
5,460,0.665062672,5.9835,0.6909,3.656471965,1.904904,33.7,961.8,28.54,8.14,815.97,8.6,1.5,0.2032,1.35,4.650659,4.22331,0.002657,63.1392,10.63772,0.011134,17.33532,5.209
5,499,10.0510124,5.899,1.6121,5.426631632,48.012294,35.2,955.2,27.57,7.52,1260.4,1.02,5.1,0.2032,4.835,3.433513,5.556601,0.001823,56.64003,12.83926,0.013339,21.51543,13.48744444
4,512,0.495683768,6.7545,2.5333,4.977985047,53.724714,36.5,951.4,29.51,7.59,809.31,6.09,5.2,0.2032,40,4.963752,11.76494,0.005586,28.6345,23.12785,0.013781,31.48958,16.902
4,535,0.324586501,7.258,1.1515,3.712469,3.48262,136.1,949.4,30.66,8.86,1172.4,15.6,7.5,0.2032,2.675,4.158978,6.258635,0.001084,51.16824,13.93441,0.037442,24.44121,19.06944444
4,541,109.6096514,8.066,3.2242,4.853830895,60.906042,24.5,953.2,26.9,7.16,618.81,0.2,8.5,0.2032,60.69,6.324363,16.20606,0.007821,16.41921,20.92667,0.015352,40.10052,24.44277778
3,545,183.4417869,13.03,3.2242,3.26980046,87.94483,30.1,953,28.92,7.05,744.48,0.25,26.5,0.2032,73.62,6.571635,18.94861,0.00061,18.7092,17.43698,0.005057,38.3279,27.61222222
3,549,46.53085028,11.6705,5.0666,4.400574097,74.044608,38.9,949.9,29.07,7.39,850.86,1.3,23.6,0.2032,68.135,7.195819,20.80695,0.000182,19.9011,12.74224,0.005656,39.34806,29.61388889
3,552,15.36578338,8.4855,2.9939,4.261045313,73.79979,34.3,948.3,31.65,8.29,857.05,16.81,44.2,0.2032,56.385,6.637894,19.10792,0.000619,18.93014,16.55607,0.005128,38.76223,29.61388889
3,556,137.4333409,18.4,9.4423,3.604695652,81.00832,33.9,951.6,27.43,8.22,693.91,0.16,14.9,0.2032,64.605,6.414369,10.19111,0.015064,33.25452,17.70485,0.005752,32.41433,31.63477778
3,569,84.90622713,,,,,33.8,952.5,27.93,7.02,697.11,0.16,,0.2032,0.55,6.742537,10.83829,0.01619,35.14662,13.2015,0.004563,34.0503,32.472
3,558,0.43720306,8.5095,0.4606,1.028427052,0.708016,37.5,949.2,26.07,7.79,93.45,7.04,1.7,0.2032,,10.01076,17.21087,0.027187,25.83292,6.985086,0.003543,39.92963,37.48344444
8,,0.341555708,4.269,,,5.397,32.1,1011.4,28.59,9.38,839.51,5.92,3.3,0.6096,,2.361925,5.658705,0.017553,74.41607,4.611471,0.040582,12.89369,2.240444444
